Year,Author,Fo,peak,name,celsius,GPa ,hours,fO2Buffer,logf02,orientation,log10D,Experiment,mechanism,polarized IR
2014,Padron-Navarta,100,3613,,1000,0.0001,191,none,air,u,-15.66,dehydration,[Si],
2014,Padron-Navarta,100,3613,,1100,0.0001,19,none,air,u,-14.17,dehydration,[Si],
2014,Padron-Navarta,100,3613,,1200,0.0001,23,none,air,u,-13.02,dehydration,[Si],
2014,Padron-Navarta,100,3613,,1000,0.0001,,none,air,u,-13.35,dehydration,[Si]-[Ti] rxn,no
2014,Padron-Navarta,100,3613,,900,0.0001,,none,air,u,-14.3,dehydration,[Si]-[Ti] rxn,
2014,Padron-Navarta,100,3613,,800,0.0001,,none,air,u,-15.29,dehydration,[Si]-[Ti] rxn,
2014,Padron-Navarta,100,3525,,1000,0.0001,,none,air,u,-13.16,dehydration,[Ti],no
2014,Padron-Navarta,100,3525,,900,0.0001,,none,air,u,-14.1,dehydration,[Ti],
2014,Padron-Navarta,100,3525,,800,0.0001,,none,air,u,-15.26,dehydration,[Ti],
2014,Padron-Navarta,100,3220,,1000,0.0001,,none,air,u,-12.66,dehydration,[Mg],no
2014,Padron-Navarta,100,3220,,900,0.0001,,none,air,u,-13.7,dehydration,[Mg],
2014,Padron-Navarta,100,3220,,800,0.0001,,none,air,u,-14.29,dehydration,[Mg],
,,,,,,,,,,,,,,
1998,Kohlstedt,91,bulk H,SC14#1 or SC14#7,800,3,1,Fe-FeO,-13.37,a,-10.8071,hydration,pp,"yes, E || a"
1998,Kohlstedt,91,bulk H,SC14#1 or SC14#7,800,3,1,Fe-FeO,-13.37,b,-12.2306,hydration,pp,"yes, E || a"
1998,Kohlstedt,91,bulk H,SC14#1 or SC14#7,800,3,1,Fe-FeO,-13.37,c,-12.114,hydration,pp,"yes, E || a"
1998,Kohlstedt,91,bulk H,SC14#2 or SC14#6,900,3,1,Fe-FeO,-11.26,a,-9.9876,hydration,pp,"yes, E || a"
1998,Kohlstedt,91,bulk H,SC14#2 or SC14#6,900,3,1,Fe-FeO,-11.26,a,-10.397,hydration,pp,"yes, E || a"
1998,Kohlstedt,91,bulk H,SC14#2 or SC14#6,900,3,1,Fe-FeO,-11.26,b,-11.3043,hydration,pp,"yes, E || a"
